t,value
1540450733,0
1540450913,0
1540451093,0
1540451513,0
1540451693,0
1540451873,0
1540452053,0
1540452233,0
1540452413,0
1540452593,0
1540452773,0
1540452953,0
1540453133,0
1540453313,0
1540453493,0
1540453673,0
1540453853,0
1540454033,0
1540454213,0
1540454393,0
1540454573,0
1540454951,0
1540455131,0
1540458353,0
1540458533,0
1540458713,0
1540458893,0
1540459073,0
1540459255,0
1540459435,0
1540459615,0
1540459795,0
1540459975,0
1540460155,0
1540460335,0
1540460515,0
1540462807,0
1540462987,0
1540463167,0
1540463347,0
1540463527,0
1540463707,0
1540464002,0
1540464182,0
1540469307,0
1540469487,0
1540469667,0
1540469847,0
1540470027,0
1540470207,0
1540470387,0
1540470567,0
1540481547,0
1540481785,0
1540481965,0
1540482156,0
1540482336,0
1540482516,0
1540485994,0
1540486400,0
1540486580,0
1540486760,0
1540493054,0
1540493234,0
1540493414,0
1540493594,0
1540493774,0
1540494346,0
1540494526,0
1540494706,0
1540494886,0
1540495066,0
1540495246,0
1540495426,0
1540495606,0
1540529694,0
1540529874,0
1540530054,0
1540530234,0
1540530414,0
1540530594,0
1540530774,0
1540530954,0
1540531134,0
1540531467,0
1540531647,0
1540531827,0
1540532007,0
1540532187,0
1540532367,0
1540533739,0
1540533919,0
1540534099,0
1540534279,0
1540534459,0
1540534639,0
1540534819,0
1540535000,0
1540535180,0
1540535360,0
1540535540,0
1540535720,0
1540535900,0
1540536080,0
1540536260,0
1540536440,0
1540536620,0
1540536800,0
1540536980,0
1540547724,0
1540547904,0
1540548084,0
1540548264,0
1540574625,0
1540574805,0
1540574985,0
1540575165,0
1540575345,0
1540575525,0
1540575705,0
1540575885,0
1540576065,0
1540576245,0
1540576425,0
1540576605,0
1540576785,0
1540640843,0
1540749614,0
1540749794,0
1540749974,0
1540750154,0
1540750334,0
1540750514,0
1540750694,0
1540750874,0
1540751054,0
1540751234,0
1540751414,0
1540751594,0
1540751774,0
1540751954,0
1540752134,0
1540752314,0
1540752494,0
1540752674,0
1540752854,0
1540753034,0
1540753214,0
1540753394,0
1540753574,0
1540753754,0
1540753934,0
1540754114,0
1540754294,0
1540754474,0
1540789951,0
1540790131,0
1540790311,0
1540790491,0
1540790671,0
1540795573,0
1540795753,0
1540795933,0
1540796113,0
1540796293,0
1540796473,0
1540796653,0
1540796833,0
1540797013,0
1540797193,0
1540797373,0
1540797884,0
1540798504,0
1540798875,0
1540799055,0
1540802341,0
1540803834,0
1540804131,0
1540804311,0
1540804491,0
1540804672,0
1540804852,0
1540805032,0
1540805212,0
1540805392,0
1540805572,0
1540805752,0
1540806161,0
1540806341,0
1540806521,0
1540806701,0
1540806881,0
1540807061,0
1540807241,0
1540807421,0
1540807601,0
1540807781,0
1540807961,0
1540808141,0
1540808321,0
1540808501,0
1540808681,0
1540808861,0
1540809041,0
1540809221,0
1540809401,0
1540809581,0
1540812933,0
1540813113,0
1540813293,0
1540813473,0
1540813653,0
1540814379,0
1540814559,0
1540814739,0
1540814924,0
1540815104,0
1540815284,0
1540815535,0
1540815956,0
1540816136,0
1540816727,0
1540816907,0
1540817087,0
1540817267,0
1540817447,0
1540817627,0
1540817810,0
1540817990,0
1540818170,0
1540818350,0
1540818530,0
1540818710,0
1540818904,0
1540819222,0
1540819935,0
1540820115,0
1540821271,0
1540821452,0
1540821632,0
1540821812,0
1540822751,0
1540826832,0
1540827012,0
1540828548,0
1540828728,0
1540839584,0
1540839764,0
1540839944,0
1540840124,0
1540840304,0
1540840484,0
1540840664,0
1540840844,0
1540841024,0
1540841204,0
1540841384,0
1540841564,0
1540841744,0
1540841924,0
1540842104,0
1540842284,0
1540842464,0
1540842644,0
1540842824,0
1540843004,0
1540843184,0
1540843364,0
1540843544,0
1540843724,0
1540843904,0
1540844084,0
1540844264,0
1540875136,0
1540875316,0
1540875496,0
1540875676,0
1540875856,0
1540876039,0
1540876219,0
1540876399,0
1540876579,0
1540876759,0
1540876939,0
1540877119,0
1540877299,0
1540877479,0
1540877659,0
1540877839,0
1540878019,0
1540878199,0
1540878379,0
1540878559,0
1540878739,0
1540878919,0
1540879099,0
1540879279,0
1540879459,0
1540881431,0
1540881611,0
1540881791,0
1540881971,0
1540882151,0
1540882331,0
1540882511,0
1540882691,0
1540882871,0
1540883051,0
1540883231,0
1540883411,0
1540883591,0
1540884209,0
1540884389,0
1540884569,0
1540884749,0
1540884929,0
1540888142,0
1540888322,0
1540888502,0
1540888682,0
1540888862,0
1540889042,0
1540889222,0
1540899352,0
1540899532,0
1540899712,0
1540899892,0
1540900072,0
1540900252,0
1540961874,0
1540962054,0
1540962234,0
1540962414,0
1540962594,0
1540962774,0
1540963650,0
1540963830,0
1540964010,0
1540964190,0
1540964370,0
1540964550,0
1540966366,0
1540966546,0
1540966726,0
1540966906,0
1540967086,0
1540967266,0
1540967446,0
1540967626,0
1540967806,0
1540967986,0
1540968166,0
1540968346,0
1540968526,0
1540968706,0
1540968886,0
1540969066,0
1540969246,0
1540969426,0
1540969606,0
1540969786,0
1540969966,0
1540970146,0
1540970326,0
